project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P110463	1282812	1	Sankhuwāsabhā	27.58333	87.33333	ADM3	NP|ER|07|9	Nepal|Eastern Region|Kosī Zone
P110463	1282810	1	Saptarī	26.58333	86.75	ADM3	NP|ER|13|15	Nepal|Eastern Region|Sagarmāthā Zone
P110463	1282806	1	Sarlāhī	27	85.58333	ADM3	NP|CR|05|19	Nepal|Central Region|Janakpur Zone
P110463	1282776	1	Sindhulī	27.25	86	ADM3	NP|CR|05|20	Nepal|Central Region|Janakpur Zone
P110463	7647006	1	Sindhupalchok	27.82936	85.54504	ADM3	NP|CR|01|23	Nepal|Central Region|Bāgmatī Zone
P110463	1282771	1	Sirāhā	26.75	86.33333	ADM3	NP|ER|13|16	Nepal|Eastern Region|Sagarmāthā Zone
P110463	1282744	1	Sunsarī	26.66667	87.16667	ADM3	NP|ER|07|6	Nepal|Eastern Region|Kosī Zone
P110463	7667450	1	Surkhet	28.51746	81.7787	ADM3	NP|MR|02|59	Nepal|Mid Western|Bherī Zone
P110463	1282734	1	Syāngjā	28	83.83333	ADM3	NP|WR|04|39	Nepal|Western Region|Gandakī Zone
P110463	1282722	1	Tanahun	27.91667	84.25	ADM3	NP|WR|04|38	Nepal|Western Region|Gandakī Zone
P110463	1282713	1	Taplejung	27.66667	87.83333	ADM3	NP|ER|10|1	Nepal|Eastern Region|Mechī Zone
P110463	7732361	1	Terhathum	27.15	87.55	ADM3	NP|ER|07|8	Nepal|Eastern Region|Kosī Zone
P110463	1282630	1	Udayapur	26.91667	86.66667	ADM3	NP|ER|13|14	Nepal|Eastern Region|Sagarmāthā Zone
P110481	7932403	2	Fierza Hydroelectric Power Station	42.25139	20.04306	PS	AL|19	Albania
P110481	7932453	2	Komani Hydroelectric Power Station	42.10325	19.82238	PS	AL|21	Albania
P110481	3184781	5	Lumi i Matit	41.64278	19.57639	STM	AL|00	Albania
P110481	3184080	2	Shkopet	41.70611	19.825	PPL	AL|48	Albania|Lezhë
P110481	3183824	2	Ulëz	41.68278	19.89333	PPLA3	AL|41|15	Albania|Dibër|Rrethi i Matit
P110481	7932401	2	Vau i Dejes Hydroelectric Power Station	42.01361	19.63583	PS	AL|21	Albania
P110487	3385835	1	Açude Umari	-3.91667	-38.93333	RSV	BR|06	Brazil|Ceará
P110487	3389894	1	Açude Salgado	-3.95	-39.3	RSV	BR|06	Brazil|Ceará
P110487	3406533	1	Açude Banabuiú	-5.33333	-39	RSV	BR|06	Brazil|Ceará
P110487	3408363	1	Açude Acaraú Mirim	-3.5	-40.28333	RSV	BR|06	Brazil|Ceará
P110487	3407480	1	Antonina do Norte	-6.775	-39.98917	PPL	BR|06|2300804	Brazil|Ceará|Antonina do Norte
P110487	3466742	2	Castanhão	-13.95	-40.16667	PPL	BR|05|2918001	Brazil|Bahia|Jequié
P110487	3402362	4	Ceará	-5	-39.5	ADM1	BR|06	Brazil|Ceará
P110487	3399415	2	Fortaleza	-3.71722	-38.54306	PPLA	BR|06|2304400	Brazil|Ceará|Fortaleza
P110487	3398411	2	Ibiapaba	-5.04944	-40.92222	PPLL	BR|06|2304103	Brazil|Ceará|Crateús
P110487	3398143	1	Ipaumirim	-6.78972	-38.71917	PPL	BR|06|2305704	Brazil|Ceará|Ipaumirim
P110487	3398077	1	Ipueiras	-4.54167	-40.71889	PPL	BR|06|2305902	Brazil|Ceará|Ipueiras
P110487	3397909	1	Itapipoca	-3.49444	-39.57861	PPL	BR|06|2306405	Brazil|Ceará|Itapipoca
P110487	3397539	2	Jatoba	-4.36667	-38.18333	AREA	BR|06	Brazil|Ceará
P110487	3385834	2	Lagoa Umari	-4.3	-37.98333	LGN	BR|06	Brazil|Ceará
P110487	3395949	1	Madalena	-4.85722	-39.57667	PPL	BR|06|2307635	Brazil|Ceará|Madalena
P110487	3395703	2	Riacho Mamoeiro	-7.3	-39	STMI	BR|06	Brazil|Ceará
P110487	3397429	2	Riacho Jenipapeiro	-7.31667	-38.93333	STMI	BR|06	Brazil|Ceará
P110487	3399117	2	Riacho Gameleira	-6.66667	-40.18333	STMI	BR|06	Brazil|Ceará
P110487	3386173	2	Rio Trairi	-3.29503	-39.29262	STMI	BR|06	Brazil|Ceará
P110487	3397668	5	Rio Jaguaribe	-6.16478	-40.3093	STMI	BR|06	Brazil|Ceará
P110487	3401727	5	Rio Coreaú	-2.89556	-40.83778	STM	BR|06	Brazil|Ceará
P110487	3408366	5	Rio Acaraú	-2.85	-40.13333	STM	BR|06	Brazil|Ceará
P110498	3430657	4	Provincia de Misiones	-26.81427	-54.34387	ADM1	AR|14	Argentina|Misiones
P110498	3433896	4	Provincia de Formosa	-25	-60	ADM1	AR|09	Argentina|Formosa
P110498	3435214	4	Provincia de Corrientes	-29	-58	ADM1	AR|06	Argentina|Corrientes
P110498	3833578	4	Provincia de Tucumán	-27	-65.5	ADM1	AR|24	Argentina|Tucumán
P110498	3835868	4	Provincia de Santiago del Estero	-28	-63.5	ADM1	AR|22	Argentina|Santiago del Estero
P110498	3837029	4	Provincia de San Luis	-34	-66	ADM1	AR|19	Argentina|San Luis
P110498	3837152	4	Provincia de San Juan	-31	-69	ADM1	AR|18	Argentina|San Juan
P110498	3838231	4	Provincia de Salta	-24.75806	-65.43457	ADM1	AR|17	Argentina|Salta
P110498	3838830	4	Provincia de Río Negro	-40	-67	ADM1	AR|16	Argentina|Rio Negro
P110498	3843122	4	Provincia del Neuquén	-39	-70	ADM1	AR|15	Argentina|Neuquen
P110498	3844419	4	Provincia de Mendoza	-34.5	-68.5	ADM1	AR|13	Argentina|Mendoza
P110498	3848949	4	Provincia de La Rioja	-29.58333	-67	ADM1	AR|12	Argentina|La Rioja
P110498	3853404	4	Provincia de Jujuy	-23	-66	ADM1	AR|10	Argentina|Jujuy
P110498	3860255	4	Provincia de Córdoba	-32	-64	ADM1	AR|05	Argentina|Cordoba
P110498	3861244	4	Provincia del Chubut	-44	-69	ADM1	AR|04	Argentina|Chubut
P110498	3861887	4	Provincia del Chaco	-26.33333	-60.5	ADM1	AR|03	Argentina|Chaco
P110498	3862286	4	Provincia de Catamarca	-27	-67	ADM1	AR|02	Argentina|Catamarca
P110538	7668818	3	Altyarik	40.38333	71.5	ADM2	UZ|03|7668818	Uzbekistan|Fergana|Altyarik
P110538	7668819	3	Bagdad	40.48557	71.19567	ADM2	UZ|03|7668819	Uzbekistan|Fergana|Bagdad
P110538	7668820	3	Rishtan	40.38501	71.23453	ADM2	UZ|03|7668820	Uzbekistan|Fergana|Rishtan
P110538	1512955	1	Rishton	40.35667	71.28472	PPL	UZ|03	Uzbekistan|Fergana
P110555	1221874	1	Dushanbe	38.53575	68.77905	PPLC	TJ|7280679	Tajikistan|Dushanbe
P110555	1514879	1	Khŭjand	40.28256	69.62216	PPLA	TJ|03	Tajikistan|Viloyati Sughd
P110599	3433955	4	Ciudad Autónoma de Buenos Aires	-34.6	-58.45	ADM1	AR|07	Argentina|Buenos Aires F.D.
P110599	3430657	4	Provincia de Misiones	-26.81427	-54.34387	ADM1	AR|14	Argentina|Misiones
P110599	3433896	4	Provincia de Formosa	-25	-60	ADM1	AR|09	Argentina|Formosa
P110599	3434137	4	Provincia de Entre Ríos	-32	-59	ADM1	AR|08	Argentina|Entre Rios
P110599	3435214	4	Provincia de Corrientes	-29	-58	ADM1	AR|06	Argentina|Corrientes
P110599	3435907	4	Provincia de Buenos Aires	-36	-60	ADM1	AR|01	Argentina|Buenos Aires
P110599	3833578	4	Provincia de Tucumán	-27	-65.5	ADM1	AR|24	Argentina|Tucumán
